iter	Passed	Remaining
0	157	157826
1	160	80307
2	164	54554
3	169	42111
4	172	34353
5	176	29198
6	178	25324
7	186	23080
8	188	20753
9	189	18804
10	191	17238
11	193	15906
12	195	14867
13	197	13920
14	201	13228
15	204	12555
16	206	11919
17	208	11357
18	211	10933
19	214	10519
20	216	10076
21	217	9681
22	219	9306
23	220	8964
24	222	8672
25	225	8465
26	228	8224
27	229	7981
28	231	7745
29	232	7529
30	234	7326
31	237	7173
32	238	7001
33	241	6874
34	243	6714
35	244	6559
36	246	6415
37	247	6277
38	249	6146
39	252	6050
40	254	5944
41	256	5857
42	258	5760
43	260	5654
44	261	5553
45	262	5452
46	264	5367
47	267	5302
48	270	5247
49	272	5172
50	273	5090
51	274	5010
52	276	4937
53	277	4862
54	280	4825
55	285	4808
56	286	4741
57	288	4678
58	289	4616
59	290	4554
60	291	4492
61	294	4454
62	296	4405
63	298	4359
64	299	4307
65	300	4254
66	301	4204
67	302	4152
68	303	4101
69	304	4051
70	305	4002
71	306	3955
72	309	3933
73	311	3895
74	312	3853
75	313	3813
76	314	3773
77	315	3734
78	316	3695
79	317	3656
80	318	3618
81	319	3581
82	320	3539
83	321	3506
84	323	3485
85	325	3458
86	326	3426
87	327	3399
88	329	3369
89	330	3339
90	331	3311
91	332	3283
92	333	3255
93	335	3230
94	336	3207
95	339	3194
96	341	3179
97	343	3157
98	344	3131
99	345	3106
100	346	3083
101	347	3059
102	348	3036
103	349	3012
104	350	2989
105	351	2967
106	354	2958
107	356	2946
108	358	2928
109	359	2909
110	360	2888
111	361	2869
112	363	2853
113	364	2836
114	366	2817
115	367	2803
116	369	2788
117	370	2771
118	372	2756
119	373	2739
120	374	2722
121	375	2703
122	376	2686
123	377	2669
124	378	2651
125	379	2634
126	380	2617
127	381	2601
128	385	2600
129	387	2595
130	389	2583
131	390	2570
132	391	2555
133	393	2540
134	394	2525
135	395	2510
136	396	2495
137	400	2500
138	402	2493
139	403	2481
140	405	2471
141	406	2456
142	407	2443
143	408	2430
144	409	2417
145	411	2404
146	414	2403
147	418	2408
148	419	2396
149	420	2384
150	421	2371
151	422	2358
